time_recv,packet_time,igniterarmed,ignitercurrent0,ignitercurrent1,igniterinternalstate0,igniterinternalstate1,alarminternalstate,solenoidinternalstategn2fill,solenoidinternalstategn2vent,solenoidinternalstategn2disconnect,solenoidinternalstatemvasfill,solenoidinternalstatemvasvent,solenoidinternalstatemvasopen,solenoidinternalstatemvasclose,solenoidinternalstateloxvent,solenoidinternalstatelngvent,supplyvoltage0,supplyvoltage1,supplyvoltage,solenoidcurrentgn2fill,solenoidcurrentgn2vent,solenoidcurrentgn2disconnect,solenoidcurrentmvasfill,solenoidcurrentmvasvent,solenoidcurrentmvasopen,solenoidcurrentmvasclose,solenoidcurrentloxvent,solenoidcurrentlngvent,temperatureengine1,temperatureengine2,pressuregn2,pressurevent,pressureloxinjtee,pressureloxmvas
1771701807.73035,30024088,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8690000176429749,22.99679946899414,,0.0,0.0,0.0,0.0,0.0,0.6348090171813965,0.0,0.0,0.0,-1.0,-1.0,649.8135990142822,273.8263899326324,11.9,631.0871809959411
1771701807.680292,30023988,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8690000176429749,22.99679946899414,,0.0,0.0,0.0,0.0,0.0,0.636443018913269,0.0,0.0,0.0,-1.0,-1.0,649.8135990142822,278.69040431976316,11.9,632.5464147567749
1771701807.6300972,30023888,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8752000331878662,23.003000259399414,,0.0,0.0,0.0,0.0,0.0,0.6348090171813965,0.0,0.0,0.0,-1.0,-1.0,650.5431932449341,276.015195274353,11.9,632.7895826339721
1771701807.5806587,30023788,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8813999891281128,23.0216007232666,,0.0,0.0,0.0,0.0,0.0,0.636443018913269,0.0,0.0,0.0,-1.0,-1.0,650.5431932449341,280.39280595779417,11.9,632.7895826339721
1771701807.5309455,30023688,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8813999891281128,23.015399932861328,,0.0,0.0,0.0,0.0,0.0,0.6380770206451416,0.0,0.0,0.0,-1.0,-1.0,650.0568121910095,278.44719114303587,11.9,632.3032015800476
1771701807.48066,30023588,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8752000331878662,22.99679946899414,,0.0,0.0,0.0,0.0,0.0,0.636443018913269,0.0,0.0,0.0,-1.0,-1.0,649.0840047836303,276.5015989780426,11.9,455.0103992462158
1771701807.4301825,30023488,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8813999891281128,22.9906005859375,,0.0,0.0,0.0,0.0,0.0,0.6356260180473328,0.0,0.0,0.0,-1.0,-1.0,557.6407879829407,276.5015989780426,11.9,443.33680095672605
1771701807.3802035,30023388,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9124000072479248,22.9596004486084,,0.0,0.0,0.0,0.0,0.0,0.6380770206451416,0.0,0.0,0.0,-1.0,-1.0,434.33841171264646,276.2584084510803,11.9,420.23281755447385
1771701807.3305929,30023288,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9124000072479248,22.85420036315918,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,436.7704075813293,278.2040006160736,11.9,423.63762083053587
1771701807.281093,30023188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876000046730042,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.5000018119812,279.6631890773773,11.9,424.8535961151123
1771701807.2303412,30023088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.2567886352539,279.9064022541046,11.9,423.1511944770813
1771701807.1804204,30022988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.7432149887085,276.98800268173215,11.9,421.69200601577757
1771701807.1300354,30022888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.85420036315918,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.98638286590574,276.98800268173215,11.9,423.1511944770813
1771701807.080256,30022788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876000046730042,22.816999435424805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.2567886352539,276.5015989780426,11.9,425.0968092918396
1771701807.030505,30022688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,438.22959604263303,278.2040006160736,11.9,425.82640352249143
1771701806.9805384,30022588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8999999761581421,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.2567886352539,285.98639192581174,11.9,424.610382938385
1771701806.9304583,30022488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876000046730042,22.847999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,437.5000018119812,277.9608100891113,11.9,426.5559977531433
1771701806.8801854,30022388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,431.419989490509,275.52879157066343,11.9,425.0968092918396
